USER_ID,FIRST_NAME,LAST_NAME,NICKNAME,PHONE_NUMBER
100,Steven,King,SKING,515.123.4567
101,Neena,Kochhar,NKOCHHAR,515.123.45068
102,Lex,De Haan,LDEHAAN,515.123.4569
103,Alexander,Hunold,AHUNOLD,590.423.4567
104,Bruce,Ernst,BERNST,590.423.4568
105,David,Austin,DAUSTIN,590.423.4569
106,Valli,Pataballa,VPATABAL,590.423.4560
107,Diana,Lorentz,DLORENTZ,590.423.5567
108,Nancy,Greenberg,NGREENBE,515.124.4569
109,Daniel,Faviet,DFAVIET,515.124.4169
110,John,Chen,JCHEN,515.124.4269
111,Ismael,Sciarra,ISCIARRA,515.124.4369
112,Jose Manuel,Urman,JMURMAN,515.124.4469
113,Luis,Popp,LPOPP,515.124.4567
114,Den,Raphaely,DRAPHEAL,515.127.4561
115,Alexander,Khoo,AKHOO,515.127.4562
116,Shelli,Baida,SBAIDA,515.127.4563
117,Sigal,Tobias,STOBIAS,515.127.4564
118,Eddie,Dove,EDOVE,515.127.4565
119,Beth,Wright,BWRIGHT,515.127.4566
120,Megan,Smith,MSMITH,515.127.4567
121,Adam,Green,AGREEN,515.127.4568
122,Hannah,Miller,HMILLER,515.127.4569
123,Ryan,Davis,RDAVIS,515.127.4570
124,Jenny,Lee,JLEE,515.127.4571
125,Brandon,Chen,BCHEN,515.127.4572
126,Olivia,Kim,OKIM,515.127.4573
127,Cameron,Nguyen,CNGUYEN,515.127.4574
128,Avery,Garcia,AGARCIA,515.127.4575
129,Natalie,Lopez,NLOPEZ,515.127.4576
130,Liam,Rodriguez,LRODRIGUEZ,515.127.4577
131,Emma,Martinez,EMARTINEZ,515.127.4578
132,Jacob,Hernandez,JHERNANDEZ,515.127.4579
133,Avery,Williams,AWILLIAMS,515.127.4580
